0,104396
3600000.029,91019
7199999.971,75672
10800000,56906
14400000.03,34197
17999999.97,15733
21600000,15934
25200000.03,21748
28799999.97,33471
32400000,50838
36000000.03,70493
39599999.97,83727
43200000,91188
46800000.03,92174
50399999.97,90405
54000000,85644
57600000.03,82324
61199999.97,84213
64800000,86853
68400000.03,77582
71999999.97,69103
75600000,63116
79200000.03,58113
82799999.97,48249
86400000,34211
90000000.03,21442
93599999.97,14701
97200000,10920
100800000,10765
104400000,16537
108000000,40261
111600000,67223
115200000,81966
118800000,78095
122400000,69888
126000000,70746
129600000,75582
133200000,75968
136800000,76945
140400000,72784
144000000,62770
147600000,70801
151200000,82236
154800000,77883
158400000,68376
162000000,62394
165600000,52669
169200000,37708
172800000,26877
176400000,14828
180000000,9447
183600000,6016
187200000,6535
190800000,12636
194400000,35029
198000000,63282
201600000,76349
205200000,71266
208800000,63157
212400000,63149
216000000,65942
219600000,64830
223200000,71196
226800000,71829
230400000,64136
234000000,78035
237600000,98547
241200000,96048
244800000,91441
248400000,90007
252000000,77408
255600000,55932
259200000,35148
262800000,21133
266400000,13351
270000000,9228
273600000,9189
277200000,16231
280800000,46348
284400000,84797
288000000,100876
291600000,92674
295200000,79709
298800000,77414
302400000,79866
306000000,78823
309600000,84637
313200000,83190
316800000,72019
320400000,89729
324000000,113517
327600000,116099
331200000,107594
334800000,106203
338400000,97537
342000000,68675
345600000,71632
349200000,57202
352800000,43768
356400000,35151
360000000,27224
363600000,25991
367200000,54625
370800000,93770
374400000,109110
378000000,102262
381600000,92565
385200000,93279
388800000,100061
392400000,98328
396000000,105951
399600000,105601
403200000,89365
406800000,107469
410400000,132685
414000000,136463
417600000,130258
421200000,129872
424800000,123261
428400000,102320
432000000,70271
435600000,43928
439200000,29284
442800000,19743
446400000,16709
450000000,20750
453600000,52380
457200000,90973
460800000,105709
464400000,104436
468000000,96307
471600000,97308
475200000,102524
478800000,102104
482400000,111027
486000000,106858
489600000,92254
493200000,114894
496800000,142845
500400000,152757
504000000,140380
507600000,135221
511200000,140495
514800000,138030
518400000,127436
522000000,105593
525600000,81910
529200000,60560
532800000,38652
536400000,19559
540000000,23878
543600000,34334
547200000,54321
550800000,80463
554400000,95699
558000000,110881
561600000,122316
565200000,123360
568800000,118726
572400000,122782
576000000,113730
579600000,123649
583200000,142904
586800000,148398
590400000,126800
594000000,124766
597600000,137476
601200000,141515
